Sample	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage	Mosdepth_mqc-generalstats-mosdepth-mean_coverage	Mosdepth_mqc-generalstats-mosdepth-min_coverage	Mosdepth_mqc-generalstats-mosdepth-max_coverage	Mosdepth_mqc-generalstats-mosdepth-coverage_bases	Mosdepth_mqc-generalstats-mosdepth-length	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_records	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_indels	Bcftools: Stats_mqc-generalstats-bcftools_stats-tstv	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_MNPs
aviti_hq | REH-20231208_PLT-04_EBSL-0477-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1	0.921776	0.962263	22806785784.0	158008040.0	0.410375	100.0																								
aviti_hq | REH-20231208_PLT-04_EBSL-0477-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2	0.889562	0.954634	21819281769.0	152374512.0	0.409902	100.0																								
aviti_hq | REH-20231208_PLT-04_EBSL-0477-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3	0.969503	0.956114	23841130845.0	166236324.0	0.409944	100.0																								
aviti_hq | REH-20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1	0.9121809999999999	0.96121	22600434499.0	156749960.0	0.410689	100.0																								
aviti_hq | REH-20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1.REH-20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_1							0.010633																							
aviti_hq | REH-20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2	0.881466	0.953626	21632689185.0	151231084.0	0.410246	100.0																								
aviti_hq | REH-20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3	0.9617	0.95518	23642512478.0	165012646.0	0.410368	100.0																								
aviti_hq | REH.deepvariant																										7318664	5547147	1781287	1.52	0
aviti_hq | REH.md								0.005061268	0.0	948287255.0	99.86043666149212	98.42459561555549	3.9315632855684015	949612566.0	94.0	94.0	93.0	86.0	36.0	47	45.27	0.0	191068.0	140367484567	3100554802					
aviti_ngi | KMS12BM-B2403418434_KMS-812-5mil-DE090-2A1A-1	0.961217	0.972664	21226147921.0	145484672.0	0.413317	100.0																								
aviti_ngi | KMS12BM-B2403418435_KMS-812-5mil-DE090-2A1A-2	0.867071	0.970121	17785348627.0	122220886.0	0.4139	100.0																								
aviti_ngi | KMS12BM-B2403418436_KMS-812-5mil-DE090-2A1A-3	0.75115	0.966931	16328628812.0	112580472.0	0.41395	100.0																								
