## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_hq_MM1S.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_hq_MM1S.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_hq/outdir/preprocessing/markduplicates/MM1S/MM1S.md.cram OUTPUT=picard/aviti_hq_MM1S.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:02:09 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	56	41546483	14860879	24	0.996263	0.000258			
All Reads	ALL	57	37775417	13560512	24	0.999841	0.000272			
All Reads	ALL	58	33620279	12082405	24	1.000958	0.000288			
All Reads	ALL	59	29119333	10465800	24	1.001048	0.000309			
All Reads	ALL	60	24607076	8834151	23	0.999928	0.000336			
All Reads	ALL	61	20442247	7324525	23	0.997964	0.000369			
All Reads	ALL	62	16888056	6042120	23	0.996492	0.000405			
All Reads	ALL	63	13953520	4974058	23	0.992867	0.000445			
All Reads	ALL	64	11533648	4100894	22	0.990321	0.000489			
All Reads	ALL	65	9516463	3389776	22	0.992109	0.000539			
All Reads	ALL	66	7844747	2777170	22	0.986024	0.000592			
All Reads	ALL	67	6376889	2249738	22	0.982623	0.000655			
All Reads	ALL	68	5103178	1804512	21	0.984879	0.000733			
All Reads	ALL	69	4086242	1436032	21	0.978823	0.000817			
All Reads	ALL	70	3279236	1148617	21	0.975588	0.00091			
All Reads	ALL	71	2626766	900000	21	0.9543	0.001006			
All Reads	ALL	72	2126045	722357	20	0.946332	0.001113			
All Reads	ALL	73	1735600	594502	20	0.954042	0.001237			
All Reads	ALL	74	1432212	488272	20	0.949551	0.001359			
All Reads	ALL	75	1205854	420328	20	0.970862	0.001497			
All Reads	ALL	76	1039412	353482	20	0.947204	0.001593			
All Reads	ALL	77	914623	315069	20	0.959461	0.001709			
All Reads	ALL	78	813919	282108	19	0.96538	0.001818			
All Reads	ALL	79	710475	243499	19	0.95458	0.001934			
All Reads	ALL	80	605953	206991	19	0.951429	0.002091			
All Reads	ALL	81	510051	170880	19	0.933129	0.002257			
All Reads	ALL	82	428619	147526	19	0.958652	0.002496			
All Reads	ALL	83	352749	119601	19	0.94435	0.002731			
All Reads	ALL	84	276293	100336	19	1.011465	0.003193			
All Reads	ALL	85	200807	76241	19	1.057484	0.00383			
All Reads	ALL	86	134275	55419	19	1.149549	0.004883			
All Reads	ALL	87	88064	41915	19	1.325669	0.006475			
All Reads	ALL	88	60774	29517	18	1.352752	0.007874			
All Reads	ALL	89	39373	23894	19	1.690263	0.010935			
All Reads	ALL	90	25721	13351	18	1.445739	0.012512			
All Reads	ALL	91	16577	30123	21	5.061232	0.029161			
All Reads	ALL	92	9918	6430	19	1.805722	0.022519			
All Reads	ALL	93	6247	6729	19	3.00015	0.036574			
All Reads	ALL	94	3541	59076	18	46.467477	0.19118			
All Reads	ALL	95	1700	79955	17	130.996786	0.463274			
All Reads	ALL	96	986	38398	16	108.466499	0.55353			
All Reads	ALL	97	658	185087	17	783.454821	1.821067			
All Reads	ALL	98	328	148668	16	1262.430825	3.274152			
All Reads	ALL	99	133	19931	15	417.389369	2.956493			
All Reads	ALL	100	339	25	12	0.205402	0.04108			


