FFQ	32	1	1	26	254	288	286	263	266	256	283	332	350	395	354	388	455	526	539	640	632	753	838	967	983	1211	1179	1493	1302	1855	1811	2198	2238	2609	3114	3360	4048	3840	5675	6589	7203	9371	11294	19601	28142	93058	389473	0
FFQ	33	17	0	35	257	304	270	281	277	280	296	274	326	330	437	370	432	496	560	671	639	755	810	898	988	1182	1232	1498	1371	1833	1812	2235	2250	2688	3026	3238	3923	3993	5680	6710	7205	9259	11328	19357	28128	92425	390364	0
FFQ	34	5	0	25	222	312	275	282	238	294	304	305	350	356	333	400	493	472	515	681	645	743	790	852	988	1234	1268	1390	1286	1870	1804	2181	2233	2693	3176	3245	3957	3906	5543	6684	6862	9113	11082	19330	28398	92268	391337	0
FFQ	35	0	0	21	225	321	285	275	272	281	286	326	341	338	369	401	477	508	504	659	606	783	790	915	980	1128	1227	1453	1329	1880	1759	2163	2234	2651	3050	3340	3917	4054	5616	6613	7172	8938	11397	18990	28107	92231	391528	0
FFQ	36	0	0	19	263	311	283	278	264	310	265	306	341	359	404	415	473	606	543	605	674	716	822	923	1002	1156	1249	1465	1339	1885	1754	2042	2218	2651	3091	3312	3877	4123	5413	6606	7276	9019	11354	19084	27986	91988	391670	0
FFQ	37	7	1	18	233	311	292	279	284	295	298	308	321	355	403	387	480	508	501	606	641	746	832	951	985	1112	1223	1446	1401	1783	1752	2264	2186	2697	3008	3403	3865	3980	5603	6609	7157	8737	11410	18692	28054	92643	391673	0
FFQ	38	12	0	16	218	293	273	277	246	296	275	293	297	354	417	394	486	507	546	619	593	706	801	913	1045	1080	1194	1376	1444	1745	1857	2202	2203	2769	2974	3371	3887	4015	5472	6682	7199	8882	11542	18526	27250	92328	392865	0
FFQ	39	64	0	16	252	319	302	278	237	322	287	323	335	352	402	409	433	539	573	701	701	732	775	951	1116	1126	1236	1436	1438	1783	1814	2139	2164	2797	2902	3409	3727	4030	5674	6523	7149	8601	11687	18126	28083	93719	390758	0
FFQ	40	61	0	23	238	337	286	277	273	268	302	319	345	353	398	400	457	559	598	621	663	708	811	966	1080	1102	1314	1399	1492	1703	1884	2141	2205	2839	2904	3548	3653	4023	5451	6652	7243	8441	11872	17950	27546	93619	391416	0
FFQ	41	0	0	20	233	330	308	269	230	274	293	344	329	371	393	387	510	509	569	663	711	737	770	929	1114	1035	1228	1321	1511	1761	1936	2090	2307	2663	2868	3599	3596	4140	5366	6673	7247	8522	11762	18183	28002	92940	391697	0
FFQ	42	0	0	23	273	320	311	294	289	301	286	363	341	370	428	404	473	540	511	641	712	675	776	979	1020	1086	1266	1334	1532	1714	1865	2133	2212	2773	2979	3693	3694	4127	5483	6787	7383	8542	11722	17858	27965	94065	390197	0
