FFQ	26	0	0	4	104	136	109	133	146	143	133	132	141	176	200	194	212	267	257	324	317	401	329	425	612	501	611	683	815	926	954	1152	1294	1395	1754	2352	1717	2601	3003	3553	4291	5097	6787	12804	15267	60570	620445	0
FFQ	27	334	0	3	109	143	168	138	137	133	146	146	171	190	203	206	241	264	267	313	337	436	377	440	682	490	702	719	915	1035	1086	1128	1266	1452	1763	2286	1763	2544	2985	3571	4380	5134	6851	12878	15868	61616	617451	0
FFQ	28	0	0	6	94	127	135	126	138	137	151	133	140	144	185	157	233	259	242	284	351	423	355	430	611	434	695	663	864	895	987	1102	1230	1371	1782	2302	1704	2479	2864	3542	4334	5243	6675	12757	15461	60257	620965	0
FFQ	29	0	1	5	99	123	98	111	110	126	126	147	152	167	170	185	221	254	305	297	330	429	355	416	598	467	713	690	850	979	1000	1198	1206	1361	1671	2165	1709	2517	3058	3490	4372	5195	6665	12539	15655	60270	620872	0
FFQ	30	133	0	11	120	168	140	138	118	145	159	148	183	200	212	206	258	244	275	331	331	505	397	478	602	476	727	666	925	979	1038	1171	1235	1388	1724	2337	1761	2594	3088	3514	4286	5200	6655	12907	15687	62909	616698	0
FFQ	31	133	1	6	92	144	131	109	129	128	135	119	158	178	174	182	216	256	263	314	330	433	379	432	562	447	711	611	840	900	1041	1114	1187	1369	1675	2250	1622	2509	3042	3410	4167	5024	6476	12755	15378	58271	623664	0
FFQ	32	133	0	5	90	140	127	114	132	115	133	142	139	165	184	174	228	223	285	346	311	416	376	439	591	413	714	680	847	933	1022	1147	1152	1273	1636	2156	1675	2488	2950	3412	4173	5358	6170	12330	15021	58653	624256	0
FFQ	33	133	0	4	96	128	147	133	125	134	153	154	151	174	206	215	256	288	282	341	335	453	343	472	620	500	796	645	833	1010	1119	1230	1156	1306	1696	2149	1766	2559	3082	3453	4276	5555	6178	12604	15361	59580	621270	0
FFQ	34	66	0	12	113	140	133	114	147	132	145	131	153	168	202	186	237	276	296	343	344	347	378	453	622	466	758	636	861	1005	1013	1221	1151	1378	1728	2148	1772	2647	3015	3328	4122	5299	6316	12383	15186	59347	622549	0
FFQ	35	72	0	4	96	130	108	126	122	123	150	139	177	171	189	187	232	266	286	300	293	413	401	443	605	509	734	591	853	943	1049	1206	1117	1374	1796	2095	1787	2478	3057	3365	3993	5528	6165	12158	14905	57182	625549	0
FFQ	36	381	2	9	95	164	140	155	121	128	132	168	182	203	206	194	235	265	314	356	353	466	418	482	626	453	829	665	885	1011	1139	1275	1239	1478	1708	2079	1803	2683	3089	3361	4218	5652	6396	12515	15487	60826	618881	0
FFQ	37	133	0	10	125	149	142	126	144	138	161	173	182	208	187	222	255	312	289	356	383	430	466	535	639	492	837	682	833	1046	1146	1306	1132	1510	1829	2167	1921	2537	3129	3376	4218	5707	6340	12518	15626	62138	617212	0
FFQ	38	144	0	9	111	167	157	155	144	150	158	153	186	200	215	208	253	306	259	386	347	437	469	579	620	496	866	682	874	999	1218	1335	1165	1483	1785	2072	1828	2725	3267	3451	4281	6006	6414	12383	15906	63242	615176	0
FFQ	39	66	0	9	104	129	130	141	146	117	136	127	164	171	198	217	262	261	314	321	340	416	387	521	654	470	786	656	903	1004	1163	1327	1112	1415	1816	1945	1857	2607	3086	3310	4058	5848	6304	12254	15472	61069	619674	0
FFQ	40	133	0	10	140	162	138	159	159	132	150	142	179	191	211	231	220	307	305	384	358	475	446	533	543	488	901	682	889	1043	1097	1349	1282	1379	1871	2085	1924	2651	3188	3374	4210	5960	6333	12318	15935	62991	615809	0
FFQ	41	134	0	12	123	153	147	143	133	155	167	152	162	195	220	206	264	274	322	320	372	434	419	525	601	481	802	653	892	1017	1162	1323	1157	1425	1831	2054	1871	2593	3205	3367	4103	5893	6280	12012	15792	61122	618799	0
FFQ	42	133	0	4	112	154	141	121	144	130	145	130	186	187	170	203	267	279	277	341	368	424	419	478	619	492	756	665	840	915	1102	1291	1154	1486	1740	2016	1876	2592	3162	3225	4174	5894	6407	11970	15490	60490	620298	0
FFQ	43	133	0	3	138	157	131	117	139	144	147	165	170	208	201	185	261	284	303	306	370	430	477	492	604	454	771	700	851	1005	1097	1288	1191	1446	1808	2063	1905	2553	3168	3343	4280	5793	6551	11920	15502	61095	619118	0
FFQ	44	133	0	4	117	127	129	151	149	132	157	162	173	238	203	202	261	274	341	330	398	389	472	524	567	511	762	703	845	975	1089	1319	1191	1432	1869	1995	1907	2524	3212	3311	4190	5840	6705	11684	16065	63099	616606	0
FFQ	45	133	0	9	135	140	147	162	160	143	162	154	186	200	206	227	233	284	300	328	415	421	457	534	616	529	745	744	910	968	1154	1337	1228	1398	1824	1991	1939	2458	3180	3304	4090	5815	6696	11756	15954	62912	616783	0
FFQ	46	133	0	11	130	142	157	146	149	153	158	180	170	206	215	216	238	255	318	303	440	442	456	618	592	534	764	777	934	925	1168	1317	1246	1485	1896	2041	1962	2568	3227	3381	4265	5806	6851	11596	15883	63552	615461	0
FFQ	47	133	0	7	115	165	154	135	144	158	159	151	165	191	206	201	249	271	307	335	430	440	422	572	572	548	772	765	906	877	1129	1276	1238	1398	1786	2007	1880	2450	3257	3287	4093	5848	6960	11097	15795	61246	619170	0
FFQ	48	133	0	5	124	141	143	141	156	155	126	171	181	200	202	213	228	244	310	299	410	432	450	566	567	541	711	737	910	881	1163	1277	1284	1421	1859	2058	1942	2426	3195	3247	4240	5782	6961	11149	15881	62409	617796	0
FFQ	49	133	0	3	94	156	139	123	127	158	144	180	163	190	211	210	244	300	330	308	428	382	407	528	548	586	772	776	904	824	1160	1320	1226	1401	1818	1998	1900	2385	3053	3262	4175	5816	6848	11048	16078	62773	617838	0
FFQ	50	133	0	5	124	148	151	128	137	146	150	130	179	158	217	204	214	277	332	278	419	420	438	497	558	560	719	769	920	816	1148	1293	1209	1453	1798	1948	1934	2338	3067	3228	4157	5822	6719	10973	16156	62447	618550	0
FFQ	51	135	0	6	104	132	136	138	139	160	141	141	185	196	199	228	241	248	296	267	441	416	439	563	607	570	713	777	922	846	1160	1323	1248	1459	1817	2056	1953	2445	3085	3184	4111	5887	6714	10998	16352	63536	616753	0
FFQ	52	133	0	7	102	160	150	130	125	170	139	175	188	202	209	257	213	251	329	282	409	418	435	532	541	559	762	776	922	792	1132	1264	1312	1437	1840	1965	1963	2404	3039	3218	4122	5913	6801	11157	16295	62756	617481	0
FFQ	53	134	0	8	120	148	160	133	142	170	139	157	182	192	219	221	219	295	306	299	416	445	419	556	620	555	765	756	957	809	1212	1358	1297	1485	1924	1954	1915	2406	3045	3354	4194	6020	6880	11021	16524	63424	615912	0
FFQ	54	134	0	9	131	178	161	151	142	160	166	160	186	202	226	245	261	288	284	298	447	467	402	530	617	571	788	761	1026	787	1166	1366	1391	1621	1825	2060	1999	2585	3102	3328	4178	5838	6952	11302	17033	64921	613022	0
FFQ	55	133	0	2	118	156	126	148	140	141	162	153	199	183	185	229	276	270	314	292	488	437	418	539	566	615	744	826	1007	810	1164	1281	1365	1534	1928	1995	1933	2554	3059	3426	4238	5861	6879	11243	17020	64956	613354	0
FFQ	56	289	5	13	131	192	155	163	127	143	154	169	184	211	209	230	225	310	321	298	462	460	457	547	556	637	777	844	981	805	1168	1245	1372	1574	1852	1995	2078	2594	3002	3268	4225	5855	6745	11147	17104	64844	613344	0
FFQ	57	133	0	8	138	161	168	166	141	178	168	183	214	184	225	258	262	306	358	278	432	470	426	592	626	632	779	834	1072	812	1188	1318	1353	1518	1939	2109	1878	2575	3030	3364	4211	5989	6917	11241	17466	64751	612416	0
FFQ	58	133	0	5	123	153	193	133	158	195	177	151	191	210	231	246	215	296	334	311	453	498	440	578	583	623	800	872	1050	865	1139	1307	1396	1532	1868	2067	2009	2557	2974	3383	4234	5844	6878	11243	17348	63997	613474	0
FFQ	59	145	1	8	128	174	165	145	164	177	161	179	200	206	271	262	230	287	351	289	484	475	434	540	632	623	760	787	1042	841	1091	1375	1339	1530	1916	2039	1940	2654	2954	3552	4260	5847	6926	11285	18016	64422	612160	0
FFQ	60	135	0	8	104	191	170	155	156	148	166	171	201	226	230	249	258	334	318	287	456	453	393	584	619	615	810	842	1028	889	1136	1348	1376	1541	1867	2118	1954	2565	2918	3392	4243	5712	6564	11291	17933	63872	613441	0
FFQ	61	133	0	6	119	139	138	134	137	171	130	161	190	187	201	246	253	306	360	291	416	464	382	592	633	573	749	816	1032	864	1093	1334	1261	1576	1794	2007	1810	2463	2850	3270	4155	5601	6575	10838	17456	60770	618791	0
FFQ	62	134	0	6	121	170	166	153	174	154	160	181	193	199	250	226	253	291	318	306	433	477	421	565	650	604	792	782	1057	871	1137	1330	1294	1562	1950	2105	1860	2721	2944	3538	4408	5773	6515	11258	17933	62804	614228	0
FFQ	63	133	0	5	129	155	170	167	157	163	177	216	234	210	238	257	256	313	367	313	475	483	426	545	644	619	757	784	1004	874	1105	1362	1326	1593	1906	2109	1813	2707	2960	3526	4436	5692	6671	11308	18252	63201	613229	0
FFQ	64	133	0	7	134	182	157	158	177	179	181	189	162	222	254	263	247	310	354	295	451	473	404	562	677	643	789	850	1012	971	1168	1304	1316	1604	1912	2202	1786	2727	2935	3523	4407	5617	6613	11019	19023	63370	612505	0
FFQ	65	68	0	11	128	193	182	178	173	168	188	177	227	204	231	283	295	352	358	331	453	530	437	590	610	615	799	908	1068	999	1095	1359	1317	1635	1926	2179	1850	2738	2943	3655	4440	5728	6796	11185	19222	63258	611385	0
FFQ	66	68	0	7	123	202	173	170	162	175	186	175	183	200	250	269	310	314	368	349	408	537	477	563	675	632	860	885	1035	1001	1125	1332	1367	1672	1859	2201	1806	2927	3062	3611	4477	5709	6509	11352	19356	63592	610753	0
FFQ	67	68	0	7	156	208	164	188	150	175	194	203	193	232	252	270	265	332	379	343	429	460	479	573	699	638	796	827	1040	940	1101	1389	1333	1607	1904	2160	1839	2718	3039	3516	4349	5560	6652	11297	19098	62902	612343	0
FFQ	68	70	0	7	141	182	162	160	147	184	191	190	211	202	258	249	267	313	362	352	480	493	472	532	703	617	807	854	1086	995	1061	1427	1327	1651	1910	2215	1843	2843	2975	3544	4476	5573	6659	11114	19261	62475	612426	0
FFQ	69	69	0	1	148	207	175	174	208	182	188	200	222	204	280	260	303	325	366	344	488	546	479	546	680	654	760	884	1074	1032	1130	1365	1358	1679	1935	2261	1826	2817	3074	3607	4505	5715	6682	11176	19671	63991	609676	0
FFQ	70	69	0	2	152	164	179	180	143	170	190	186	202	209	248	266	250	308	388	391	442	528	490	605	713	602	815	922	1022	1068	1030	1386	1333	1672	1934	2235	2043	2797	3127	3475	4548	5625	6690	11378	19779	63497	610014	0
FFQ	71	170	0	7	116	188	163	166	161	183	185	202	208	198	244	273	260	326	352	348	477	463	466	565	637	650	831	900	1063	1014	1128	1475	1365	1641	1932	2269	1944	2782	3051	3722	4595	5615	6773	11329	19706	62946	610378	0
FFQ	72	69	0	7	134	177	144	157	172	179	174	199	188	192	251	272	275	312	331	348	441	493	486	578	626	600	844	887	1049	1083	1010	1349	1302	1722	1844	2196	1905	2684	3042	3503	4666	5542	6439	11069	19408	61375	613743	0
FFQ	73	69	0	6	127	192	166	161	171	173	181	185	194	211	248	258	278	335	377	377	417	467	458	614	710	589	841	825	1045	1105	1020	1409	1338	1589	1961	2365	1918	2744	3149	3546	4404	5683	6543	11107	19327	63387	611197	0
FFQ	74	70	0	10	142	189	146	161	156	187	201	196	196	203	267	278	276	320	381	393	434	526	467	516	667	618	811	883	1097	1148	1099	1419	1306	1650	1927	2232	1876	2771	3233	3596	4680	5704	6632	11223	20187	63981	609012	0
FFQ	75	69	0	7	136	226	168	164	159	178	183	232	190	209	265	297	315	300	380	384	449	509	502	616	630	631	766	953	1100	1139	1058	1407	1319	1676	1926	2207	2027	2728	3176	3610	4785	5673	6659	11301	19886	63601	609271	0
FFQ	76	69	0	3	150	191	186	197	166	190	171	193	175	246	269	261	306	330	354	381	438	511	493	598	698	650	848	908	1034	1133	1083	1369	1311	1635	1933	2275	1993	2682	3177	3560	4774	5535	6666	11049	19384	63177	610715	0
FFQ	77	561	0	8	139	206	195	188	204	199	205	190	203	227	292	285	302	324	408	412	468	533	544	599	679	668	861	1017	1066	1230	1091	1428	1305	1771	1995	2285	2016	2752	3220	3625	4527	5699	6712	11595	19755	64901	606577	0
FFQ	78	70	0	5	144	207	180	179	181	202	208	224	193	219	288	270	293	305	348	372	482	504	507	590	708	611	832	889	1053	1197	1085	1423	1365	1686	1973	2332	2076	2708	3172	3524	4703	5574	6774	11139	19500	63776	609396	0
FFQ	79	69	1	7	145	203	194	221	183	184	212	215	213	239	301	278	287	345	402	370	468	476	543	587	768	646	876	937	1084	1183	1106	1450	1349	1715	1993	2319	2037	2685	3056	3601	4885	5624	6618	11203	19711	63757	608721	0
FFQ	80	170	1	13	161	208	210	210	219	185	189	228	185	234	301	297	298	376	390	419	465	525	572	582	684	606	833	975	1040	1207	1112	1452	1342	1733	1995	2249	2028	2705	3255	3804	4680	5671	6842	11220	19986	64821	606789	0
FFQ	81	69	0	6	140	213	205	186	203	190	223	201	202	242	289	293	328	339	410	404	456	486	534	629	760	607	853	917	1065	1197	1226	1355	1409	1690	1887	2372	2062	2677	3228	3657	4790	5740	6824	11542	19981	64889	606491	0
